Input:
1.0 1.0 1.0
1.5 2.0 1.11803398875
2.0 1.5 1.11803398875

Output:
N: 26650 | Area: 0.944559
N: 26700 | Area: 0.944195
N: 26750 | Area: 0.943084
N: 26800 | Area: 0.941698
N: 26850 | Area: 0.946276
N: 26900 | Area: 0.94303
N: 26950 | Area: 0.94462
N: 27000 | Area: 0.945231
N: 27050 | Area: 0.946719
N: 27100 | Area: 0.943496
N: 27150 | Area: 0.950506
N: 27200 | Area: 0.946507
N: 27250 | Area: 0.946789
N: 27300 | Area: 0.947299
N: 27350 | Area: 0.946572
N: 27400 | Area: 0.945119
N: 27450 | Area: 0.94153
N: 27500 | Area: 0.947591
N: 27550 | Area: 0.943603
N: 27600 | Area: 0.949457
N: 27650 | Area: 0.942089
N: 27700 | Area: 0.938809
N: 27750 | Area: 0.947883
N: 27800 | Area: 0.947752
N: 27850 | Area: 0.947038
N: 27900 | Area: 0.946953
N: 27950 | Area: 0.942174
N: 28000 | Area: 0.942679
N: 28050 | Area: 0.95156
N: 28100 | Area: 0.944039
N: 28150 | Area: 0.944361
N: 28200 | Area: 0.943262
N: 28250 | Area: 0.948009
N: 28300 | Area: 0.943154
N: 28350 | Area: 0.940697
N: 28400 | Area: 0.9386
N: 28450 | Area: 0.945826
N: 28500 | Area: 0.945614
N: 28550 | Area: 0.946979
N: 28600 | Area: 0.94764
N: 28650 | Area: 0.937304
N: 28700 | Area: 0.937195
N: 28750 | Area: 0.948826
N: 28800 | Area: 0.944661
N: 28850 | Area: 0.945494
N: 28900 | Area: 0.940441
N: 28950 | Area: 0.944085
N: 29000 | Area: 0.939957
N: 29050 | Area: 0.947203
N: 29100 | Area: 0.945275
N: 29150 | Area: 0.943096
N: 29200 | Area: 0.943193
N: 29250 | Area: 0.942179
N: 29300 | Area: 0.943985
N: 29350 | Area: 0.940801
N: 29400 | Area: 0.947364
N: 29450 | Area: 0.946774
N: 29500 | Area: 0.942881
N: 29550 | Area: 0.945812
N: 29600 | Area: 0.947213
N: 29650 | Area: 0.942496
N: 29700 | Area: 0.940951
N: 29750 | Area: 0.942773
N: 29800 | Area: 0.943163
N: 29850 | Area: 0.943509
N: 29900 | Area: 0.947074
N: 29950 | Area: 0.94328
N: 30000 | Area: 0.947083
N: 30050 | Area: 0.942304
N: 30100 | Area: 0.944601
N: 30150 | Area: 0.939635
N: 30200 | Area: 0.950414
N: 30250 | Area: 0.946405
N: 30300 | Area: 0.942616
N: 30350 | Area: 0.93958
N: 30400 | Area: 0.948232
N: 30450 | Area: 0.942652
N: 30500 | Area: 0.945
N: 30550 | Area: 0.944067
N: 30600 | Area: 0.944404
N: 30650 | Area: 0.95
N: 30700 | Area: 0.946458
N: 30750 | Area: 0.946829
N: 30800 | Area: 0.944318
N: 30850 | Area: 0.946434
N: 30900 | Area: 0.941869
N: 30950 | Area: 0.94378
N: 31000 | Area: 0.946371
N: 31050 | Area: 0.942271
N: 31100 | Area: 0.939148
N: 31150 | Area: 0.941693
N: 31200 | Area: 0.937981
N: 31250 | Area: 0.94556
N: 31300 | Area: 0.952356
N: 31350 | Area: 0.94378
N: 31400 | Area: 0.937858
N: 31450 | Area: 0.942011
N: 31500 | Area: 0.945198
N: 31550 | Area: 0.950198
N: 31600 | Area: 0.951741
N: 31650 | Area: 0.948855
N: 31700 | Area: 0.945938
N: 31750 | Area: 0.947874
N: 31800 | Area: 0.943436
N: 31850 | Area: 0.941837
N: 31900 | Area: 0.947139
N: 31950 | Area: 0.940884
N: 32000 | Area: 0.94793
N: 32050 | Area: 0.94376
N: 32100 | Area: 0.945833
N: 32150 | Area: 0.944207
N: 32200 | Area: 0.942935
N: 32250 | Area: 0.939457
N: 32300 | Area: 0.945937
N: 32350 | Area: 0.946947
N: 32400 | Area: 0.948881
N: 32450 | Area: 0.946379
N: 32500 | Area: 0.946808
N: 32550 | Area: 0.945161
N: 32600 | Area: 0.944747
N: 32650 | Area: 0.942037
N: 32700 | Area: 0.947286
N: 32750 | Area: 0.945153
N: 32800 | Area: 0.945427
N: 32850 | Area: 0.938927
N: 32900 | Area: 0.940122
N: 32950 | Area: 0.942602
N: 33000 | Area: 0.948333
N: 33050 | Area: 0.945159
N: 33100 | Area: 0.94139
N: 33150 | Area: 0.9431
N: 33200 | Area: 0.944127
N: 33250 | Area: 0.943947
N: 33300 | Area: 0.942605
N: 33350 | Area: 0.945727
N: 33400 | Area: 0.945247
N: 33450 | Area: 0.943236
N: 33500 | Area: 0.941828
N: 33550 | Area: 0.944747
N: 33600 | Area: 0.939025
N: 33650 | Area: 0.948105
N: 33700 | Area: 0.940022
N: 33750 | Area: 0.948
N: 33800 | Area: 0.944342
N: 33850 | Area: 0.942541
N: 33900 | Area: 0.945059
N: 33950 | Area: 0.940795
N: 34000 | Area: 0.941654
N: 34050 | Area: 0.943355
N: 34100 | Area: 0.944062
N: 34150 | Area: 0.946047
N: 34200 | Area: 0.943275
N: 34250 | Area: 0.947372
N: 34300 | Area: 0.939687
N: 34350 | Area: 0.94909
N: 34400 | Area: 0.940044
N: 34450 | Area: 0.943687
N: 34500 | Area: 0.944891
N: 34550 | Area: 0.946563
N: 34600 | Area: 0.942088
N: 34650 | Area: 0.942352
N: 34700 | Area: 0.940238
N: 34750 | Area: 0.941619
N: 34800 | Area: 0.947414
N: 34850 | Area: 0.94731
N: 34900 | Area: 0.946597
N: 34950 | Area: 0.945637
N: 35000 | Area: 0.949036
N: 35050 | Area: 0.944151
N: 35100 | Area: 0.938568
N: 35150 | Area: 0.94968
N: 35200 | Area: 0.943004
N: 35250 | Area: 0.943936
N: 35300 | Area: 0.950354
N: 35350 | Area: 0.941902
N: 35400 | Area: 0.944668
N: 35450 | Area: 0.941819
N: 35500 | Area: 0.94331
N: 35550 | Area: 0.942159
N: 35600 | Area: 0.946243
N: 35650 | Area: 0.946564
N: 35700 | Area: 0.944013
N: 35750 | Area: 0.948007
N: 35800 | Area: 0.941446
N: 35850 | Area: 0.947664
N: 35900 | Area: 0.945648
N: 35950 | Area: 0.945271
N: 36000 | Area: 0.947882
N: 36050 | Area: 0.946533
N: 36100 | Area: 0.948996
N: 36150 | Area: 0.942497
N: 36200 | Area: 0.944164
N: 36250 | Area: 0.941241
N: 36300 | Area: 0.947796
N: 36350 | Area: 0.941781
N: 36400 | Area: 0.940282
N: 36450 | Area: 0.945919
N: 36500 | Area: 0.946678
N: 36550 | Area: 0.945383
N: 36600 | Area: 0.945526
N: 36650 | Area: 0.942974
N: 36700 | Area: 0.947548
N: 36750 | Area: 0.945374
N: 36800 | Area: 0.940387
N: 36850 | Area: 0.940841
N: 36900 | Area: 0.945867
N: 36950 | Area: 0.939107
N: 37000 | Area: 0.944797
N: 37050 | Area: 0.944568
N: 37100 | Area: 0.941644
N: 37150 | Area: 0.945458
N: 37200 | Area: 0.943817
N: 37250 | Area: 0.943826
N: 37300 | Area: 0.943164
N: 37350 | Area: 0.948695
